Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	806.864	569.106	0
	1	783.864	569.106	0
	2	795.864	565.106	0
	3	757.864	561.106	0
	4	727.136	521.991	0
	5	710.001	507.149	0
	6	692.33	492.412	0
	7	674.301	477.236	0
	8	655.324	461.678	0
	9	636.152	445.872	0
	10	616.883	429.923	0
	11	597.5	413.809	0
	12	578.143	397.692	0
	13	558.821	381.682	0
	14	539.729	365.829	0
	15	520.943	350.249	0
	16	502.627	335.032	0
	17	484.891	320.257	0
	18	467.741	306.022	0
	19	451.341	292.42	0
	20	435.822	279.496	0
	21	421.26	267.421	0
	22	407.764	256.219	0
	23	395.469	246.01	0
	24	384.464	236.871	0
	25	374.837	228.889	0
	26	366.758	222.151	0
	27	360.248	216.755	0
	28	355.475	212.793	0
	29	352.539	210.344	0
	30	351.535	209.523	0
	31	351.532	209.519	0
	32	351.532	209.519	0
	33	351.527	209.519	0
	34	351.524	209.519	0
	35	351.53	209.519	0
	36	351.53	209.519	0
	37	351.53	209.519	0
	38	351.529	209.519	0
	39	351.522	209.518	0
	40	351.523	209.518	0
	41	351.525	209.518	0
	42	351.525	209.518	0
	43	351.528	209.519	0
	44	351.525	209.521	0
	45	351.509	209.522	0
	46	351.512	209.526	0
	47	351.52	209.518	0
	48	351.499	209.522	0
	49	351.507	209.527	0
	50	351.505	209.521	0
	51	351.488	209.511	0
	52	351.495	209.499	0
	53	351.492	209.501	0
	54	351.49	209.501	0
	55	351.511	209.501	0
	56	351.512	209.5	0
	57	351.501	209.5	0
	58	351.499	209.5	0
	59	351.496	209.5	0
	60	351.496	209.5	0
	61	351.502	209.5	0
	62	351.502	209.5	0
	63	351.499	209.5	0
	64	351.498	209.5	0
	65	351.499	209.5	0
	66	351.497	209.5	0
	67	351.5	209.5	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	806.864	569.106	0
	1	783.864	569.106	0
	2	795.864	565.106	0
	3	757.864	561.106	0
	4	727.136	521.991	0
	5	710.001	507.149	0
	6	692.33	492.412	0
	7	674.301	477.236	0
	8	655.324	461.678	0
	9	636.152	445.872	0
	10	616.883	429.923	0
	11	597.5	413.809	0
	12	578.143	397.692	0
	13	558.821	381.682	0
	14	539.729	365.829	0
	15	520.943	350.249	0
	16	502.627	335.032	0
	17	484.891	320.257	0
	18	467.741	306.022	0
	19	451.341	292.42	0
	20	435.822	279.496	0
	21	421.26	267.421	0
	22	407.764	256.219	0
	23	395.469	246.01	0
	24	384.464	236.871	0
	25	374.837	228.889	0
	26	366.758	222.151	0
	27	360.248	216.755	0
	28	355.475	212.793	0
	29	352.539	210.344	0
	30	351.535	209.523	0
	31	351.532	209.519	0
	32	351.532	209.519	0
	33	351.527	209.519	0
	34	351.524	209.519	0
	35	351.53	209.519	0
	36	351.53	209.519	0
	37	351.53	209.519	0
	38	351.529	209.519	0
	39	351.522	209.518	0
	40	351.523	209.518	0
	41	351.525	209.518	0
	42	351.525	209.518	0
	43	351.528	209.519	0
	44	351.525	209.521	0
	45	351.509	209.522	0
	46	351.512	209.526	0
	47	351.52	209.518	0
	48	351.499	209.522	0
	49	351.507	209.527	0
	50	351.505	209.521	0
	51	351.488	209.511	0
	52	351.495	209.499	0
	53	351.492	209.501	0
	54	351.49	209.501	0
	55	351.511	209.501	0
	56	351.512	209.5	0
	57	351.501	209.5	0
	58	351.499	209.5	0
	59	351.496	209.5	0
	60	351.496	209.5	0
	61	351.502	209.5	0
	62	351.502	209.5	0
	63	351.499	209.5	0
	64	351.498	209.5	0
	65	351.499	209.5	0
	66	351.497	209.5	0
	67	351.5	209.5	0

Scale
	Frame	X percent	Y percent	Z percent
	0	109.756	109.756	100
	1	109.756	109.756	100
	2	109.756	109.756	100
	3	109.756	109.756	100
	4	99.9744	99.9744	100
	5	99.8923	99.8923	100
	6	99.9936	99.9936	100
	7	100.138	100.138	100
	8	100.048	100.048	100
	9	100.022	100.022	100
	10	100.04	100.04	100
	11	100.053	100.053	100
	12	100.068	100.068	100
	13	100.06	100.06	100
	14	100.051	100.051	100
	15	100.05	100.05	100
	16	100.05	100.05	100
	17	100.076	100.076	100
	18	100.076	100.076	100
	19	100.08	100.08	100
	20	100.075	100.075	100
	21	100.06	100.06	100
	22	100.068	100.068	100
	23	100.079	100.079	100
	24	100.074	100.074	100
	25	100.066	100.066	100
	26	100.061	100.061	100
	27	100.063	100.063	100
	28	100.061	100.061	100
	29	100.068	100.068	100
	30	100.069	100.069	100
	31	100.064	100.064	100
	32	100.063	100.063	100
	33	100.062	100.062	100
	34	100.061	100.061	100
	35	100.067	100.067	100
	36	100.066	100.066	100
	37	100.061	100.061	100
	38	100.061	100.061	100
	39	100.06	100.06	100
	40	100.062	100.062	100
	41	100.066	100.066	100
	42	100.067	100.067	100
	43	100.062	100.062	100
	44	100.065	100.065	100
	45	100.043	100.043	100
	46	100.076	100.076	100
	47	100.086	100.086	100
	48	100.095	100.095	100
	49	100.079	100.079	100
	50	100.039	100.039	100
	51	99.9877	99.9877	100
	52	99.989	99.989	100
	53	99.9938	99.9938	100
	54	99.9963	99.9963	100
	55	99.9939	99.9939	100
	56	99.9937	99.9937	100
	57	99.9961	99.9961	100
	58	99.9969	99.9969	100
	59	100	100	100
	60	100.001	100.001	100
	61	99.9973	99.9973	100
	62	99.9977	99.9977	100
	63	100	100	100
	64	100.001	100.001	100
	65	100.001	100.001	100
	66	100.002	100.002	100
	67	100	100	100

Rotation
	Frame	Degrees
	0	-0.619207
	1	-0.619206
	2	-0.619206
	3	-0.619207
	4	-0.093514
	5	-0.0395009
	6	0.0153035
	7	0.0282793
	8	0.00362907
	9	-9.702e-05
	10	0.00386642
	11	0.000639817
	12	-0.00240833
	13	0.00215125
	14	-0.00186173
	15	0.00176096
	16	0.00183906
	17	0.00109583
	18	0.00226222
	19	0.00523995
	20	-0.000816233
	21	-0.00203803
	22	0.00381153
	23	0.00129989
	24	-0.00110343
	25	-0.00258981
	26	-1.51263e-05
	27	0.00300792
	28	-0.000755785
	29	-0.000161241
	30	0.000181374
	31	0.00109839
	32	0.00104801
	33	0.00114877
	34	0.00101273
	35	0.000806149
	36	0.000876691
	37	0.000881755
	38	0.00103291
	39	0.000967394
	40	0.00100265
	41	0.000433297
	42	0.000654987
	43	0.000705405
	44	-0.00212634
	45	-0.00143606
	46	-0.00179378
	47	-0.00259488
	48	-0.00286707
	49	-0.00216673
	50	-0.00136051
	51	-0.000957411
	52	2.01462e-05
	53	-4.53618e-05
	54	-0.000151183
	55	8.56548e-05
	56	-0.000206614
	57	0.000196513
	58	0.000136043
	59	3.52625e-05
	60	-0.000262035
	61	-0.000176378
	62	-2.52055e-05
	63	-0.000115907
	64	-3.02443e-05
	65	-0.000141103
	66	-6.55171e-05
	67	-1.01875e-08

End of Keyframe Data
