Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	1	304.5	202	0
	2	304.524	202.088	0
	3	304.541	202.183	0
	4	304.572	202.257	0
	5	304.592	202.341	0
	6	304.613	202.437	0
	7	304.632	202.522	0
	8	304.655	202.616	0
	9	304.677	202.697	0
	10	304.704	202.794	0
	11	304.73	202.881	0
	12	304.746	202.964	0
	13	304.781	203.055	0
	14	304.795	203.141	0
	15	304.815	203.23	0
	16	304.841	203.324	0
	17	304.86	203.41	0
	18	304.893	203.513	0
	19	304.919	203.606	0
	20	304.932	203.692	0
	21	304.965	203.78	0
	22	304.985	203.883	0
	23	305.012	203.968	0
	24	305.037	204.07	0
	25	305.062	204.159	0
	26	305.085	204.26	0
	27	305.106	204.337	0
	28	305.129	204.451	0
	29	305.155	204.535	0
	30	305.179	204.643	0
	31	305.205	204.744	0
	32	305.244	204.839	0
	33	305.267	204.928	0
	34	305.29	205.023	0
	35	305.315	205.126	0
	36	305.337	205.227	0
	37	305.371	205.33	0
	38	305.389	205.424	0
	39	305.42	205.519	0
	40	305.439	205.621	0
	41	305.469	205.727	0
	42	305.49	205.823	0
	43	305.515	205.927	0
	44	305.546	206.024	0
	45	305.573	206.131	0
	46	305.599	206.227	0
	47	305.629	206.336	0
	48	305.657	206.427	0
	49	305.68	206.539	0
	50	305.705	206.65	0
	51	305.728	206.742	0
	52	305.759	206.846	0
	53	305.782	206.951	0
	54	305.812	207.055	0
	55	305.838	207.164	0
	56	305.869	207.269	0
	57	305.901	207.367	0
	58	305.924	207.479	0
	59	305.946	207.58	0
	60	305.977	207.679	0
	61	306.009	207.783	0
	62	306.027	207.887	0
	63	306.063	207.995	0
	64	306.09	208.105	0
	65	306.117	208.201	0
	66	306.14	208.308	0
	67	306.17	208.41	0
	68	306.196	208.52	0
	69	306.223	208.622	0
	70	306.252	208.733	0
	71	306.285	208.84	0
	72	306.309	208.946	0
	73	306.336	209.044	0
	74	306.36	209.152	0
	75	306.388	209.258	0
	76	306.417	209.361	0
	77	306.453	209.462	0
	78	306.473	209.567	0
	79	306.507	209.673	0
	80	306.539	209.782	0
	81	306.562	209.882	0
	82	306.588	209.983	0
	83	306.613	210.087	0
	84	306.641	210.182	0
	85	306.663	210.282	0
	86	306.693	210.374	0
	87	306.719	210.475	0
	88	306.744	210.574	0
	89	306.765	210.661	0
	90	306.793	210.761	0
	91	306.814	210.842	0
	92	306.84	210.941	0
	93	306.864	211.025	0
	94	306.885	211.113	0
