Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	395.924	461.762	0
	1	395.906	459.607	0
	2	395.891	457.446	0
	3	395.896	455.257	0
	4	395.882	453.151	0
	5	395.894	450.994	0
	6	395.896	448.821	0
	7	395.89	446.699	0
	8	395.892	444.545	0
	9	395.868	442.424	0
	10	395.874	440.306	0
	11	395.865	438.139	0
	12	395.873	435.988	0
	13	395.866	433.844	0
	14	395.844	431.7	0
	15	395.842	429.548	0
	16	395.828	427.399	0
	17	395.822	425.238	0
	18	395.813	423.096	0
	19	395.808	420.939	0
	20	395.804	418.777	0
	21	395.801	416.651	0
	22	395.788	414.476	0
	23	395.778	412.344	0
	24	395.777	410.201	0
	25	395.781	408.051	0
	26	395.765	405.894	0
	27	395.747	403.744	0
	28	395.737	401.603	0
	29	395.73	399.445	0
	30	395.732	397.285	0
	31	395.728	395.136	0
	32	395.728	392.962	0
	33	395.713	390.828	0
	34	395.695	388.67	0
	35	395.692	386.52	0
	36	395.677	384.363	0
	37	395.677	382.226	0
	38	395.673	380.126	0
	39	395.66	377.96	0
	40	395.652	375.81	0
	41	395.647	373.661	0
	42	395.628	371.509	0
	43	395.623	369.358	0
	44	395.612	367.204	0
	45	395.602	365.061	0
	46	395.588	362.904	0
	47	395.573	360.755	0
	48	395.563	358.605	0
	49	395.559	356.456	0
	50	395.537	354.302	0
	51	395.529	352.162	0
	52	395.51	350.012	0
	53	395.503	347.858	0
	54	395.487	345.705	0
	55	395.478	343.549	0
	56	395.462	341.395	0
	57	395.457	339.248	0
	58	395.44	337.095	0
	59	395.422	334.939	0
	60	395.411	332.791	0
	61	395.396	330.649	0
	62	395.382	328.498	0
	63	395.377	326.348	0
	64	395.359	324.202	0
	65	395.345	322.084	0
	66	395.335	319.926	0
	67	395.329	317.775	0
	68	395.321	315.615	0
	69	395.31	313.473	0
	70	395.304	311.314	0
	71	395.291	309.158	0
	72	395.285	307.009	0
	73	395.274	304.86	0
	74	395.264	302.709	0
	75	395.255	300.557	0
	76	395.247	298.407	0
	77	395.243	296.246	0
	78	395.234	294.087	0
	79	395.227	291.943	0
	80	395.22	289.781	0
	81	395.217	287.634	0
	82	395.207	285.478	0
	83	395.2	283.321	0
	84	395.196	281.17	0
	85	395.192	279.02	0
	86	395.185	276.868	0
	87	395.182	274.716	0
	88	395.176	272.56	0
	89	395.172	270.403	0
	90	395.164	268.25	0
	91	395.16	266.101	0
	92	395.152	263.988	0
	93	395.144	261.834	0
	94	395.141	259.671	0
	95	395.134	257.516	0
	96	395.127	255.362	0
	97	395.123	253.22	0
	98	395.117	251.057	0
	99	395.111	248.911	0
	100	395.103	246.761	0
	101	395.098	244.6	0
	102	395.091	242.448	0
	103	395.085	240.296	0
	104	395.08	238.136	0
	105	395.072	235.994	0
	106	395.066	233.831	0
	107	395.061	231.676	0
	108	395.053	229.522	0
	109	395.049	227.382	0
	110	395.043	225.226	0
	111	395.04	223.077	0
	112	395.033	220.93	0
	113	395.028	218.771	0
	114	395.022	216.615	0
	115	395.018	214.465	0
	116	395.008	212.299	0
	117	395.002	210.159	0
	118	395	208	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	395.924	461.762	0
	1	395.906	459.607	0
	2	395.891	457.446	0
	3	395.896	455.257	0
	4	395.882	453.151	0
	5	395.894	450.994	0
	6	395.896	448.821	0
	7	395.89	446.699	0
	8	395.892	444.545	0
	9	395.868	442.424	0
	10	395.874	440.306	0
	11	395.865	438.139	0
	12	395.873	435.988	0
	13	395.866	433.844	0
	14	395.844	431.7	0
	15	395.842	429.548	0
	16	395.828	427.399	0
	17	395.822	425.238	0
	18	395.813	423.096	0
	19	395.808	420.939	0
	20	395.804	418.777	0
	21	395.801	416.651	0
	22	395.788	414.476	0
	23	395.778	412.344	0
	24	395.777	410.201	0
	25	395.781	408.051	0
	26	395.765	405.894	0
	27	395.747	403.744	0
	28	395.737	401.603	0
	29	395.73	399.445	0
	30	395.732	397.285	0
	31	395.728	395.136	0
	32	395.728	392.962	0
	33	395.713	390.828	0
	34	395.695	388.67	0
	35	395.692	386.52	0
	36	395.677	384.363	0
	37	395.677	382.226	0
	38	395.673	380.126	0
	39	395.66	377.96	0
	40	395.652	375.81	0
	41	395.647	373.661	0
	42	395.628	371.509	0
	43	395.623	369.358	0
	44	395.612	367.204	0
	45	395.602	365.061	0
	46	395.588	362.904	0
	47	395.573	360.755	0
	48	395.563	358.605	0
	49	395.559	356.456	0
	50	395.537	354.302	0
	51	395.529	352.162	0
	52	395.51	350.012	0
	53	395.503	347.858	0
	54	395.487	345.705	0
	55	395.478	343.549	0
	56	395.462	341.395	0
	57	395.457	339.248	0
	58	395.44	337.095	0
	59	395.422	334.939	0
	60	395.411	332.791	0
	61	395.396	330.649	0
	62	395.382	328.498	0
	63	395.377	326.348	0
	64	395.359	324.202	0
	65	395.345	322.084	0
	66	395.335	319.926	0
	67	395.329	317.775	0
	68	395.321	315.615	0
	69	395.31	313.473	0
	70	395.304	311.314	0
	71	395.291	309.158	0
	72	395.285	307.009	0
	73	395.274	304.86	0
	74	395.264	302.709	0
	75	395.255	300.557	0
	76	395.247	298.407	0
	77	395.243	296.246	0
	78	395.234	294.087	0
	79	395.227	291.943	0
	80	395.22	289.781	0
	81	395.217	287.634	0
	82	395.207	285.478	0
	83	395.2	283.321	0
	84	395.196	281.17	0
	85	395.192	279.02	0
	86	395.185	276.868	0
	87	395.182	274.716	0
	88	395.176	272.56	0
	89	395.172	270.403	0
	90	395.164	268.25	0
	91	395.16	266.101	0
	92	395.152	263.988	0
	93	395.144	261.834	0
	94	395.141	259.671	0
	95	395.134	257.516	0
