Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	29.4021	316.37	0
	1	31.3208	315.58	0
	2	33.1981	314.779	0
	3	35.0517	313.985	0
	4	36.9711	313.185	0
	5	38.8349	312.405	0
	6	40.718	311.613	0
	7	42.639	310.812	0
	8	44.485	310.011	0
	9	46.3917	309.212	0
	10	48.2599	308.422	0
	11	50.1888	307.634	0
	12	52.0421	306.847	0
	13	53.9016	306.009	0
	14	55.8227	305.216	0
	15	57.6956	304.421	0
	16	59.5657	303.629	0
	17	61.4805	302.838	0
	18	63.3599	302.039	0
	19	65.2128	301.24	0
	20	67.1209	300.451	0
	21	69.0339	299.659	0
	22	70.8876	298.859	0
	23	72.7773	298.057	0
	24	74.6835	297.261	0
	25	76.5767	296.471	0
	26	78.4371	295.644	0
	27	80.3444	294.84	0
	28	82.2298	294.047	0
	29	84.0902	293.251	0
	30	85.9799	292.467	0
	31	87.882	291.668	0
	32	89.7471	290.88	0
	33	91.6368	290.086	0
	34	93.544	289.294	0
	35	95.4321	288.489	0
	36	97.3017	287.7	0
	37	99.2335	286.901	0
	38	101.082	286.105	0
	39	102.964	285.283	0
	40	104.825	284.481	0
	41	106.747	283.675	0
	42	108.627	282.886	0
	43	110.483	282.089	0
	44	112.414	281.299	0
	45	114.291	280.509	0
	46	116.169	279.707	0
	47	118.105	278.911	0
	48	119.949	278.122	0
	49	121.829	277.328	0
	50	123.709	276.535	0
	51	125.622	275.738	0
	52	127.501	274.901	0
	53	129.374	274.107	0
	54	131.276	273.325	0
	55	133.145	272.534	0
	56	135.016	271.741	0
	57	136.949	270.945	0
	58	138.814	270.145	0
	59	140.682	269.342	0
	60	142.565	268.553	0
	61	144.49	267.765	0
	62	146.347	266.968	0
	63	148.231	266.157	0
	64	150.143	265.379	0
	65	152.027	264.552	0
	66	153.885	263.759	0
	67	155.809	262.956	0
	68	157.669	262.168	0
	69	159.555	261.368	0
	70	161.424	260.578	0
	71	163.357	259.781	0
	72	165.206	258.993	0
	73	167.08	258.191	0
	74	168.999	257.394	0
	75	170.875	256.593	0
	76	172.752	255.806	0
	77	174.69	255.025	0
	78	176.533	254.176	0
	79	178.427	253.385	0
	80	180.275	252.591	0
	81	182.219	251.805	0
	82	184.081	250.997	0
	83	185.947	250.203	0
	84	187.873	249.413	0
	85	189.739	248.611	0
	86	191.631	247.808	0
	87	193.53	247.025	0
	88	195.403	246.227	0
	89	197.284	245.43	0
	90	199.157	244.602	0
	91	201.081	243.804	0
	92	202.932	243.012	0
	93	204.826	242.208	0
	94	206.725	241.417	0
	95	208.618	240.615	0
	96	210.477	239.825	0
	97	212.405	239.034	0
	98	214.268	238.236	0
	99	216.14	237.434	0
	100	218.017	236.647	0
	101	219.955	235.847	0
	102	221.81	235.055	0
	103	223.689	234.224	0
	104	225.591	233.433	0
	105	227.471	232.646	0
	106	229.339	231.855	0
	107	231.262	231.058	0
	108	233.127	230.258	0
	109	235.011	229.46	0
	110	236.88	228.674	0
	111	238.796	227.867	0
	112	240.668	227.071	0
	113	242.542	226.275	0
	114	244.453	225.485	0
	115	246.337	224.687	0
	116	248.192	223.867	0
	117	250.137	223.076	0
	118	251.979	222.27	0
	119	253.876	221.469	0
	120	255.733	220.679	0
	121	257.67	219.896	0
	122	259.53	219.1	0
	123	261.403	218.285	0
	124	263.335	217.499	0
	125	265.198	216.701	0
	126	267.065	215.915	0
	127	268.991	215.105	0
	128	270.849	214.32	0
	129	272.74	213.482	0
	130	274.595	212.695	0
	131	276.531	211.887	0
	132	278.384	211.104	0
	133	280.274	210.306	0
	134	282.181	209.503	0
	135	284.054	208.705	0
	136	285.931	207.918	0
	137	287.843	207.128	0
	138	289.708	206.33	0
	139	291.586	205.527	0
	140	293.465	204.744	0
	141	295.399	203.955	0
	142	297.252	203.115	0
	143	299.133	202.311	0
	144	301.049	201.526	0
	145	302.917	200.726	0
	146	304.798	199.937	0
	147	306.704	199.137	0
	148	308.583	198.347	0
	149	310.46	197.553	0
	150	312.332	196.756	0
	151	314.256	195.973	0
	152	316.121	195.167	0
	153	317.987	194.377	0
	154	319.912	193.584	0
	155	321.797	192.736	0
	156	323.654	191.955	0
	157	325.596	191.172	0
	158	327.445	190.37	0
	159	329.315	189.566	0
	160	331.202	188.778	0
	161	333.121	187.995	0
	162	334.989	187.187	0
	163	336.861	186.396	0
	164	338.776	185.603	0
	165	340.658	184.812	0
	166	342.522	184.016	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	29.4021	316.37	0
	1	31.3208	315.58	0
	2	33.1981	314.779	0
	3	35.0517	313.985	0
	4	36.9711	313.185	0
	5	38.8349	312.405	0
	6	40.718	311.613	0
	7	42.639	310.812	0
	8	44.485	310.011	0
	9	46.3917	309.212	0
	10	48.2599	308.422	0
	11	50.1888	307.634	0
	12	52.0421	306.847	0
	13	53.9016	306.009	0
	14	55.8227	305.216	0
	15	57.6956	304.421	0
	16	59.5657	303.629	0
	17	61.4805	302.838	0
	18	63.3599	302.039	0
	19	65.2128	301.24	0
	20	67.1209	300.451	0
	21	69.0339	299.659	0
	22	70.8876	298.859	0
	23	72.7773	298.057	0
	24	74.6835	297.261	0
	25	76.5767	296.471	0
	26	78.4371	295.644	0
	27	80.3444	294.84	0
	28	82.2298	294.047	0
	29	84.0902	293.251	0
	30	85.9799	292.467	0
	31	87.882	291.668	0
	32	89.7471	290.88	0
	33	91.6368	290.086	0
	34	93.544	289.294	0
	35	95.4321	288.489	0
	36	97.3017	287.7	0
	37	99.2335	286.901	0
	38	101.082	286.105	0
	39	102.964	285.283	0
	40	104.825	284.481	0
	41	106.747	283.675	0
	42	108.627	282.886	0
	43	110.483	282.089	0
	44	112.414	281.299	0
	45	114.291	280.509	0
	46	116.169	279.707	0
	47	118.105	278.911	0
	48	119.949	278.122	0
	49	121.829	277.328	0
	50	123.709	276.535	0
	51	125.622	275.738	0
	52	127.501	274.901	0
	53	129.374	274.107	0
	54	131.276	273.325	0
	55	133.145	272.534	0
	56	135.016	271.741	0
	57	136.949	270.945	0
	58	138.814	270.145	0
	59	140.682	269.342	0
	60	142.565	268.553	0
	61	144.49	267.765	0
	62	146.347	266.968	0
	63	148.231	266.157	0
	64	150.143	265.379	0
	65	152.027	264.552	0
	66	153.885	263.759	0
	67	155.809	262.956	0
	68	157.669	262.168	0
	69	159.555	261.368	0
	70	161.424	260.578	0
	71	163.357	259.781	0
	72	165.206	258.993	0
	73	167.08	258.191	0
	74	168.999	257.394	0
	75	170.875	256.593	0
	76	172.752	255.806	0
	77	174.69	255.025	0
	78	176.533	254.176	0
	79	178.427	253.385	0
	80	180.275	252.591	0
	81	182.219	251.805	0
	82	184.081	250.997	0
	83	185.947	250.203	0
	84	187.873	249.413	0
	85	189.739	248.611	0
	86	191.631	247.808	0
	87	193.53	247.025	0
	88	195.403	246.227	0
	89	197.284	245.43	0
	90	199.157	244.602	0
	91	201.081	243.804	0
	92	202.932	243.012	0
	93	204.826	242.208	0
	94	206.725	241.417	0
	95	208.618	240.615	0
	96	210.477	239.825	0
	97	212.405	239.034	0
	98	214.268	238.236	0
	99	216.14	237.434	0
	100	218.017	236.647	0
	101	219.955	235.847	0
	102	221.81	235.055	0
	103	223.689	234.224	0
	104	225.591	233.433	0
	105	227.471	232.646	0
	106	229.339	231.855	0
	107	231.262	231.058	0
	108	233.127	230.258	0
	109	235.011	229.46	0
	110	236.88	228.674	0
	111	238.796	227.867	0
	112	240.668	227.071	0
	113	242.542	226.275	0
	114	244.453	225.485	0
	115	246.337	224.687	0
	116	248.192	223.867	0
	117	250.137	223.076	0
	118	251.979	222.27	0
	119	253.876	221.469	0
	120	255.733	220.679	0
	121	257.67	219.896	0
	122	259.53	219.1	0
	123	261.403	218.285	0
	124	263.335	217.499	0
	125	265.198	216.701	0
	126	267.065	215.915	0
	127	268.991	215.105	0
	128	270.849	214.32	0
	129	272.74	213.482	0
	130	274.595	212.695	0
	131	276.531	211.887	0
	132	278.384	211.104	0
	133	280.274	210.306	0
	134	282.181	209.503	0
	135	284.054	208.705	0
	136	285.931	207.918	0
	137	287.843	207.128	0
	138	289.708	206.33	0
	139	291.586	205.527	0
	140	293.465	204.744	0
	141	295.399	203.955	0
	142	297.252	203.115	0
	143	299.133	202.311	0
	144	301.049	201.526	0
	145	302.917	200.726	0
	146	304.798	199.937	0
	147	306.704	199.137	0
	148	308.583	198.347	0
	149	310.46	197.553	0
	150	312.332	196.756	0
	151	314.256	195.973	0
	152	316.121	195.167	0
	153	317.987	194.377	0
	154	319.912	193.584	0
	155	321.797	192.736	0
	156	323.654	191.955	0
	157	325.596	191.172	0
	158	327.445	190.37	0
	159	329.315	189.566	0
	160	331.202	188.778	0
	161	333.121	187.995	0
	162	334.989	187.187	0
	163	336.861	186.396	0
	164	338.776	185.603	0
	165	340.658	184.812	0
	166	342.522	184.016	0

Scale
	Frame	X percent	Y percent	Z percent
	0	100	100	100
	1	99.996	99.996	100
	2	99.9983	99.9983	100
	3	100.018	100.018	100
