Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	308.464	123.325	0
	1	308.458	123.473	0
	2	308.461	123.596	0
	3	308.461	123.775	0
	4	308.463	123.907	0
	5	308.462	124.063	0
	6	308.463	124.207	0
	7	308.467	124.344	0
	8	308.468	124.5	0
	9	308.469	124.664	0
	10	308.469	124.802	0
	11	308.468	124.966	0
	12	308.471	125.074	0
	13	308.473	125.264	0
	14	308.475	125.402	0
	15	308.474	125.556	0
	16	308.475	125.696	0
	17	308.477	125.852	0
	18	308.478	125.996	0
	19	308.48	126.136	0
	20	308.483	126.29	0
	21	308.482	126.448	0
	22	308.48	126.586	0
	23	308.481	126.751	0
	24	308.489	126.863	0
	25	308.489	127.054	0
	26	308.492	127.175	0
	27	308.492	127.35	0
	28	308.485	127.485	0
	29	308.485	127.647	0
	30	308.492	127.778	0
	31	308.494	127.931	0
	32	308.495	128.09	0
	33	308.492	128.258	0
	34	308.489	128.391	0
	35	308.491	128.566	0
	36	308.498	128.676	0
	37	308.497	128.862	0
	38	308.5	129	0
	39	308.496	129.159	0
	40	308.493	129.301	0
	41	308.495	129.462	0
	42	308.496	129.596	0
	43	308.498	129.736	0
	44	308.499	129.893	0
	45	308.498	130.065	0
	46	308.501	130.196	0
	47	308.503	130.363	0
	48	308.51	130.486	0
	49	308.507	130.666	0
	50	308.508	130.794	0
	51	308.508	130.96	0
	52	308.508	131.1	0
	53	308.51	131.265	0
	54	308.513	131.398	0
	55	308.516	131.54	0
	56	308.513	131.695	0
	57	308.514	131.866	0
	58	308.521	131.991	0
	59	308.519	132.165	0
	60	308.526	132.269	0
	61	308.525	132.469	0
	62	308.525	132.604	0
	63	308.524	132.767	0
	64	308.528	132.897	0
	65	308.528	133.058	0
	66	308.532	133.2	0
	67	308.534	133.348	0
	68	308.527	133.495	0
	69	308.529	133.658	0
	70	308.535	133.794	0
	71	308.534	133.963	0
	72	308.537	134.083	0
	73	308.537	134.264	0
	74	308.537	134.397	0
	75	308.537	134.559	0
	76	308.544	134.693	0
	77	308.546	134.852	0
	78	308.545	134.994	0
	79	308.547	135.141	0
	80	308.544	135.293	0
	81	308.544	135.461	0
	82	308.548	135.583	0
	83	308.548	135.759	0
	84	308.553	135.87	0
	85	308.551	136.065	0
	86	308.55	136.188	0
	87	308.551	136.358	0
	88	308.556	136.497	0
	89	308.557	136.663	0
	90	308.556	136.791	0
	91	308.557	136.943	0
	92	308.558	137.098	0
	93	308.558	137.262	0
	94	308.56	137.391	0
	95	308.559	137.558	0
	96	308.563	137.674	0
	97	308.56	137.869	0
	98	308.566	137.992	0
	99	308.567	138.156	0
	100	308.573	138.297	0
	101	308.574	138.456	0
	102	308.573	138.605	0
	103	308.579	138.73	0
	104	308.57	138.9	0
	105	308.574	139.043	0
	106	308.581	139.177	0
	107	308.581	139.334	0
	108	308.574	139.472	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	308.464	123.325	0
	1	308.458	123.473	0
	2	308.461	123.596	0
	3	308.461	123.775	0
	4	308.463	123.907	0
	5	308.462	124.063	0
	6	308.463	124.207	0
	7	308.467	124.344	0
	8	308.468	124.5	0
	9	308.469	124.664	0
	10	308.469	124.802	0
	11	308.468	124.966	0
	12	308.471	125.074	0
	13	308.473	125.264	0
	14	308.475	125.402	0
	15	308.474	125.556	0
	16	308.475	125.696	0
	17	308.477	125.852	0
	18	308.478	125.996	0
	19	308.48	126.136	0
	20	308.483	126.29	0
	21	308.482	126.448	0
	22	308.48	126.586	0
	23	308.481	126.751	0
	24	308.489	126.863	0
	25	308.489	127.054	0
	26	308.492	127.175	0
	27	308.492	127.35	0
	28	308.485	127.485	0
	29	308.485	127.647	0
	30	308.492	127.778	0
	31	308.494	127.931	0
	32	308.495	128.09	0
	33	308.492	128.258	0
	34	308.489	128.391	0
	35	308.491	128.566	0
	36	308.498	128.676	0
	37	308.497	128.862	0
	38	308.5	129	0
