Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	360	205.5	0
	1	359.995	205.503	0
	2	360.005	205.505	0
	3	360.008	205.504	0
	4	360	205.504	0
	5	359.995	205.503	0
	6	359.993	205.503	0
	7	359.994	205.503	0
	8	360.003	205.504	0
	9	360.001	205.504	0
	10	359.994	205.503	0
	11	359.989	205.503	0
	12	359.981	205.502	0
	13	359.982	205.503	0
	14	359.997	205.503	0
	15	359.999	205.503	0
	16	359.99	205.503	0
	17	359.989	205.503	0
	18	359.986	205.503	0
	19	359.984	205.505	0
	20	359.992	205.509	0
	21	359.99	205.517	0
	22	359.991	205.516	0
	23	359.99	205.541	0
	24	359.994	205.54	0
	25	359.99	205.544	0
	26	359.982	205.545	0
	27	359.986	205.544	0
	28	358.991	204.718	0
	29	356.035	202.254	0
	30	351.276	198.294	0
	31	344.766	192.911	0
	32	336.692	186.166	0
	33	327.065	178.183	0
	34	316.057	169.049	0
	35	303.755	158.84	0
	36	290.292	147.636	0
	37	275.723	135.557	0
	38	260.2	122.642	0
	39	243.782	109.039	0
	40	226.676	94.8008	0
	41	208.859	80.0306	0
	42	190.486	64.8139	0
	43	171.747	49.2363	0
	44	152.671	33.3888	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	360	205.5	0
	1	359.995	205.503	0
	2	360.005	205.505	0
	3	360.008	205.504	0
	4	360	205.504	0
	5	359.995	205.503	0
	6	359.993	205.503	0
	7	359.994	205.503	0
	8	360.003	205.504	0
	9	360.001	205.504	0
	10	359.994	205.503	0
	11	359.989	205.503	0
	12	359.981	205.502	0
	13	359.982	205.503	0
	14	359.997	205.503	0
	15	359.999	205.503	0
	16	359.99	205.503	0
	17	359.989	205.503	0
	18	359.986	205.503	0
	19	359.984	205.505	0
	20	359.992	205.509	0
	21	359.99	205.517	0
	22	359.991	205.516	0
	23	359.99	205.541	0
	24	359.994	205.54	0
	25	359.99	205.544	0
	26	359.982	205.545	0
	27	359.986	205.544	0
	28	358.991	204.718	0
	29	356.035	202.254	0
	30	351.276	198.294	0
	31	344.766	192.911	0
	32	336.692	186.166	0
	33	327.065	178.183	0
	34	316.057	169.049	0
	35	303.755	158.84	0
	36	290.292	147.636	0
	37	275.723	135.557	0
	38	260.2	122.642	0
	39	243.782	109.039	0
	40	226.676	94.8008	0
	41	208.859	80.0306	0
	42	190.486	64.8139	0
	43	171.747	49.2363	0
	44	152.671	33.3888	0

Scale
	Frame	X percent	Y percent	Z percent
	0	100	100	100
	1	100.01	100.01	100
	2	100.018	100.018	100
	3	100.022	100.022	100
	4	100.02	100.02	100
	5	100.019	100.019	100
	6	100.019	100.019	100
	7	100.02	100.02	100
	8	100.021	100.021	100
	9	100.021	100.021	100
	10	100.021	100.021	100
	11	100.019	100.019	100
	12	100.018	100.018	100
	13	100.019	100.019	100
	14	100.022	100.022	100
	15	100.023	100.023	100
	16	100.023	100.023	100
	17	100.024	100.024	100
	18	100.024	100.024	100
	19	100.08	100.08	100
	20	100.125	100.125	100
	21	100.121	100.121	100
	22	100.066	100.066	100
	23	100.092	100.092	100
	24	100.107	100.107	100
	25	100.152	100.152	100
	26	100.106	100.106	100
	27	100.107	100.107	100
	28	100.093	100.093	100
	29	100.092	100.092	100
	30	100.105	100.105	100
	31	100.105	100.105	100
	32	100.097	100.097	100
	33	100.096	100.096	100
	34	100.088	100.088	100
	35	100.092	100.092	100
	36	100.106	100.106	100
	37	100.098	100.098	100
	38	100.099	100.099	100
	39	100.099	100.099	100
	40	100.095	100.095	100
	41	100.09	100.09	100
	42	100.11	100.11	100
	43	100.103	100.103	100
	44	100.135	100.135	100

Rotation
	Frame	Degrees
	0	0
	1	-0.000349697
	2	-0.000498666
	3	-0.000323808
	4	0.000641111
	5	0.00045331
	6	0.000906616
	7	0.000854805
	8	-0.00022667
	9	-7.77157e-05
	10	0.000362658
	11	0.000518084
	12	0.000692919
	13	0.000271994
	14	0.000317338
	15	0.00034324
	16	0.000284939
	17	0.0003497
	18	0.000362652
	19	0.000576329
	20	-0.000854818
	21	-0.00107498
	22	-0.00024607
	23	0.000310828
	24	0.000356155
	25	-0.000453295
	26	0.000459838
	27	0.000660614
	28	0.000116582
	29	0.00113995
	30	-0.00150905
	31	-0.00263589
	32	-0.000712477
	33	0.00170339
	34	0.00103625
	35	0.00101032
	36	0.000485743
	37	0.000893724
	38	0.00271385
	39	-0.00277203
	40	-0.00323847
	41	-0.000116603
	42	-0.00271388
	43	-0.00544759
	44	0.000738348

End of Keyframe Data
