Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	354.5	174.5	0
	1	354.494	174.403	0
	2	354.486	174.305	0
	3	354.488	174.208	0
	4	354.493	174.116	0
	5	354.506	174.016	0
	6	354.504	173.926	0
	7	354.499	173.826	0
	8	354.52	173.728	0
	9	354.533	173.63	0
	10	354.53	173.536	0
	11	354.534	173.441	0
	12	354.542	173.343	0
	13	354.542	173.247	0
	14	354.565	173.148	0
	15	354.566	173.053	0
	16	354.556	172.959	0
	17	354.576	172.862	0
	18	354.586	172.765	0
	19	354.597	172.667	0
	20	354.598	172.571	0
	21	354.601	172.473	0
	22	354.594	172.38	0
	23	354.598	172.284	0
	24	354.617	172.188	0
	25	354.619	172.09	0
	26	354.622	171.995	0
	27	354.629	171.902	0
	28	354.64	171.804	0
	29	354.658	171.703	0
	30	354.659	171.608	0
	31	354.647	171.515	0
	32	354.662	171.418	0
	33	354.678	171.314	0
	34	354.673	171.225	0
	35	354.686	171.13	0
	36	354.696	171.029	0
	37	354.701	170.936	0
	38	354.709	170.84	0
	39	354.709	170.746	0
	40	354.714	170.646	0
	41	354.725	170.548	0
	42	354.729	170.451	0
	43	354.734	170.361	0
	44	354.739	170.263	0
	45	354.747	170.167	0
	46	354.756	170.07	0
	47	354.758	169.974	0
	48	354.77	169.88	0
	49	354.768	169.78	0
	50	354.783	169.684	0
	51	354.777	169.592	0
	52	354.773	169.492	0
	53	354.801	169.394	0
	54	354.797	169.303	0
	55	354.809	169.203	0
	56	354.809	169.106	0
	57	354.808	169.011	0
	58	354.823	168.918	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	354.5	174.5	0
	1	354.494	174.403	0
	2	354.486	174.305	0
	3	354.488	174.208	0
	4	354.493	174.116	0
	5	354.506	174.016	0
	6	354.504	173.926	0
	7	354.499	173.826	0
	8	354.52	173.728	0
	9	354.533	173.63	0
	10	354.53	173.536	0
	11	354.534	173.441	0
	12	354.542	173.343	0
	13	354.542	173.247	0
	14	354.565	173.148	0
	15	354.566	173.053	0
	16	354.556	172.959	0
	17	354.576	172.862	0
	18	354.586	172.765	0
	19	354.597	172.667	0
	20	354.598	172.571	0
	21	354.601	172.473	0
	22	354.594	172.38	0
	23	354.598	172.284	0
	24	354.617	172.188	0
	25	354.619	172.09	0
	26	354.622	171.995	0
	27	354.629	171.902	0
	28	354.64	171.804	0
	29	354.658	171.703	0
	30	354.659	171.608	0
	31	354.647	171.515	0
	32	354.662	171.418	0
	33	354.678	171.314	0
	34	354.673	171.225	0
	35	354.686	171.13	0
	36	354.696	171.029	0
	37	354.701	170.936	0
	38	354.709	170.84	0
	39	354.709	170.746	0
	40	354.714	170.646	0
	41	354.725	170.548	0
	42	354.729	170.451	0
	43	354.734	170.361	0
	44	354.739	170.263	0
	45	354.747	170.167	0
	46	354.756	170.07	0
	47	354.758	169.974	0
	48	354.77	169.88	0
	49	354.768	169.78	0
	50	354.783	169.684	0
	51	354.777	169.592	0
	52	354.773	169.492	0
	53	354.801	169.394	0
	54	354.797	169.303	0
	55	354.809	169.203	0
	56	354.809	169.106	0
	57	354.808	169.011	0
	58	354.823	168.918	0

Scale
	Frame	X percent	Y percent	Z percent
	0	100	100	100
	1	100.414	100.414	100
	2	100.839	100.839	100
	3	101.238	101.238	100
	4	101.653	101.653	100
	5	102.063	102.063	100
	6	102.498	102.498	100
	7	102.907	102.907	100
	8	103.305	103.305	100
	9	103.722	103.722	100
	10	104.152	104.152	100
	11	104.561	104.561	100
	12	104.979	104.979	100
	13	105.399	105.399	100
	14	105.795	105.795	100
	15	106.207	106.207	100
	16	106.623	106.623	100
	17	107.037	107.037	100
	18	107.455	107.455	100
	19	107.851	107.851	100
	20	108.284	108.284	100
	21	108.695	108.695	100
	22	109.103	109.103	100
	23	109.518	109.518	100
	24	109.948	109.948	100
	25	110.358	110.358	100
	26	110.776	110.776	100
	27	111.19	111.19	100
	28	111.596	111.596	100
	29	112.014	112.014	100
	30	112.42	112.42	100
	31	112.851	112.851	100
	32	113.261	113.261	100
	33	113.67	113.67	100
	34	114.089	114.089	100
	35	114.496	114.496	100
	36	114.901	114.901	100
	37	115.319	115.319	100
	38	115.748	115.748	100
	39	116.16	116.16	100
	40	116.572	116.572	100
	41	116.985	116.985	100
	42	117.391	117.391	100
	43	117.817	117.817	100
	44	118.235	118.235	100
	45	118.636	118.636	100
	46	119.065	119.065	100
	47	119.484	119.484	100
	48	119.896	119.896	100
	49	120.307	120.307	100
	50	120.729	120.729	100
	51	121.137	121.137	100
	52	121.548	121.548	100
	53	121.964	121.964	100
	54	122.383	122.383	100
	55	122.803	122.803	100
	56	123.205	123.205	100
	57	123.637	123.637	100
	58	124.049	124.049	100

Rotation
	Frame	Degrees
	0	0
	1	-0.00129903
	2	-0.000105948
	3	0.0004221
	4	0.00141606
	5	0.00143788
	6	0.00076811
	7	3.27888e-05
	8	0.00315724
	9	0.00272709
	10	0.00188993
	11	0.00256028
	12	0.00318779
	13	0.0036447
	14	0.00322143
	15	0.00357437
	16	0.00415674
	17	0.00504954
	18	0.00448063
	19	0.00510004
	20	0.00541268
	21	0.00619436
	22	0.00720751
	23	0.00440678
	24	0.00557176
	25	0.00588249
	26	0.0065106
	27	0.0059299
	28	0.00682574
	29	0.00833231
	30	0.00803709
	31	0.0061223
	32	0.00725758
	33	0.00758787
	34	0.00770314
	35	0.00805393
	36	0.00892622
	37	0.00836755
	38	0.00920233
	39	0.00786665
	40	0.00872239
	41	0.0090673
	42	0.0103252
	43	0.0096484
	44	0.0124137
	45	0.0114126
	46	0.0120245
	47	0.0109888
	48	0.0126553
	49	0.0113866
	50	0.0117525
	51	0.0123959
	52	0.0112102
	53	0.0112414
	54	0.0117826
	55	0.0110736
	56	0.012865
	57	0.0124975
	58	0.0135496

End of Keyframe Data
