Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	376.146	194.097	0
	1	376.026	194.112	0
	2	375.909	194.123	0
	3	375.797	194.131	0
	4	375.683	194.145	0
	5	375.579	194.153	0
	6	375.473	194.159	0
	7	375.374	194.174	0
	8	375.247	194.18	0
	9	375.145	194.195	0
	10	375.04	194.2	0
	11	374.93	194.211	0
	12	374.834	194.223	0
	13	374.732	194.229	0
	14	374.626	194.241	0
	15	374.516	194.251	0
	16	374.418	194.26	0
	17	374.314	194.274	0
	18	374.213	194.282	0
	19	374.1	194.291	0
	20	374.008	194.3	0
	21	373.906	194.314	0
	22	373.809	194.323	0
	23	373.711	194.334	0
	24	373.608	194.349	0
	25	373.51	194.357	0
	26	373.418	194.367	0
	27	373.309	194.377	0
	28	373.228	194.386	0
	29	373.12	194.395	0
	30	373.02	194.408	0
	31	372.93	194.413	0
	32	372.832	194.422	0
	33	372.741	194.431	0
	34	372.646	194.438	0
	35	372.549	194.448	0
	36	372.451	194.451	0
	37	372.371	194.466	0
	38	372.278	194.476	0
	39	372.181	194.484	0
	40	372.086	194.485	0
	41	372	194.5	0
	42	371.899	194.51	0
	43	371.81	194.525	0
	44	371.717	194.541	0
	45	371.62	194.553	0
	46	371.537	194.567	0
	47	371.452	194.579	0
	48	371.365	194.594	0
	49	371.278	194.604	0
	50	371.175	194.616	0
	51	371.089	194.628	0
	52	371.011	194.642	0
	53	370.934	194.65	0
	54	370.84	194.663	0
	55	370.751	194.676	0
	56	370.661	194.688	0
	57	370.573	194.7	0
	58	370.485	194.713	0
	59	370.403	194.72	0
	60	370.316	194.736	0
	61	370.236	194.75	0
	62	370.14	194.761	0
	63	370.055	194.771	0
	64	369.98	194.782	0
	65	369.879	194.791	0
	66	369.804	194.803	0
	67	369.727	194.814	0
	68	369.628	194.821	0
	69	369.557	194.831	0
	70	369.484	194.848	0
	71	369.403	194.857	0
	72	369.318	194.868	0
	73	369.239	194.874	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	376.146	194.097	0
	1	376.026	194.112	0
	2	375.909	194.123	0
	3	375.797	194.131	0
	4	375.683	194.145	0
	5	375.579	194.153	0
	6	375.473	194.159	0
	7	375.374	194.174	0
	8	375.247	194.18	0
	9	375.145	194.195	0
	10	375.04	194.2	0
	11	374.93	194.211	0
	12	374.834	194.223	0
	13	374.732	194.229	0
	14	374.626	194.241	0
	15	374.516	194.251	0
	16	374.418	194.26	0
	17	374.314	194.274	0
	18	374.213	194.282	0
	19	374.1	194.291	0
	20	374.008	194.3	0
	21	373.906	194.314	0
	22	373.809	194.323	0
	23	373.711	194.334	0
	24	373.608	194.349	0
	25	373.51	194.357	0
	26	373.418	194.367	0
	27	373.309	194.377	0
	28	373.228	194.386	0
	29	373.12	194.395	0
	30	373.02	194.408	0
	31	372.93	194.413	0
	32	372.832	194.422	0
	33	372.741	194.431	0
	34	372.646	194.438	0
	35	372.549	194.448	0
	36	372.451	194.451	0
	37	372.371	194.466	0
	38	372.278	194.476	0
	39	372.181	194.484	0
	40	372.086	194.485	0
	41	372	194.5	0
	42	371.899	194.51	0
	43	371.81	194.525	0
	44	371.717	194.541	0
	45	371.62	194.553	0
	46	371.537	194.567	0
	47	371.452	194.579	0
	48	371.365	194.594	0
	49	371.278	194.604	0
	50	371.175	194.616	0
	51	371.089	194.628	0
	52	371.011	194.642	0
	53	370.934	194.65	0
	54	370.84	194.663	0
	55	370.751	194.676	0
	56	370.661	194.688	0
	57	370.573	194.7	0
	58	370.485	194.713	0
	59	370.403	194.72	0
	60	370.316	194.736	0
	61	370.236	194.75	0
	62	370.14	194.761	0
	63	370.055	194.771	0
	64	369.98	194.782	0
	65	369.879	194.791	0
	66	369.804	194.803	0
	67	369.727	194.814	0
	68	369.628	194.821	0
	69	369.557	194.831	0
	70	369.484	194.848	0
	71	369.403	194.857	0
	72	369.318	194.868	0
	73	369.239	194.874	0

Scale
	Frame	X percent	Y percent	Z percent
	0	121.342	121.342	100
	1	120.771	120.771	100
	2	120.198	120.198	100
	3	119.633	119.633	100
	4	119.074	119.074	100
	5	118.514	118.514	100
	6	117.957	117.957	100
	7	117.396	117.396	100
	8	116.855	116.855	100
	9	116.293	116.293	100
	10	115.747	115.747	100
	11	115.195	115.195	100
	12	114.661	114.661	100
	13	114.121	114.121	100
	14	113.586	113.586	100
	15	113.049	113.049	100
	16	112.517	112.517	100
	17	111.986	111.986	100
	18	111.463	111.463	100
	19	110.928	110.928	100
	20	110.412	110.412	100
	21	109.895	109.895	100
	22	109.371	109.371	100
	23	108.859	108.859	100
	24	108.341	108.341	100
	25	107.835	107.835	100
	26	107.334	107.334	100
	27	106.815	106.815	100
	28	106.32	106.32	100
	29	105.821	105.821	100
	30	105.316	105.316	100
	31	104.823	104.823	100
	32	104.329	104.329	100
	33	103.839	103.839	100
	34	103.346	103.346	100
	35	102.866	102.866	100
	36	102.382	102.382	100
	37	101.896	101.896	100
	38	101.407	101.407	100
	39	100.941	100.941	100
	40	100.461	100.461	100
	41	100	100	100
	42	99.5165	99.5165	100
	43	99.0562	99.0562	100
	44	98.593	98.593	100
	45	98.1204	98.1204	100
	46	97.6687	97.6687	100
	47	97.2131	97.2131	100
	48	96.754	96.754	100
	49	96.3056	96.3056	100
	50	95.8507	95.8507	100
	51	95.3998	95.3998	100
	52	94.9551	94.9551	100
	53	94.5022	94.5022	100
	54	94.059	94.059	100
	55	93.622	93.622	100
	56	93.1851	93.1851	100
	57	92.7443	92.7443	100
	58	92.3131	92.3131	100
	59	91.8744	91.8744	100
	60	91.4529	91.4529	100
	61	91.0262	91.0262	100
	62	90.5938	90.5938	100
	63	90.1668	90.1668	100
	64	89.7492	89.7492	100
	65	89.333	89.333	100
	66	88.9061	88.9061	100
	67	88.4902	88.4902	100
	68	88.0703	88.0703	100
	69	87.6647	87.6647	100
	70	87.2598	87.2598	100
	71	86.8553	86.8553	100
	72	86.4477	86.4477	100
	73	86.0381	86.0381	100

Rotation
	Frame	Degrees
