Adobe After Effects 6.0 Keyframe Data

	Units Per Second	23.976
	Source Width	704
	Source Height	396
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Anchor Point
	Frame	X pixels	Y pixels	Z pixels
	0	358.972	363.305	0
	1	358.976	356.062	0
	2	358.975	348.833	0
	3	358.972	341.581	0
	4	358.972	334.321	0
	5	358.974	327.071	0
	6	358.972	319.825	0
	7	358.972	312.583	0
	8	358.981	305.332	0
	9	358.979	298.082	0
	10	358.985	290.835	0
	11	358.983	283.596	0
	12	358.982	276.349	0
	13	358.98	269.104	0
	14	358.982	261.86	0
	15	358.981	254.61	0
	16	358.982	247.356	0
	17	358.983	240.107	0
	18	358.982	232.862	0
	19	358.982	225.622	0
	20	358.983	218.368	0
	21	358.982	211.12	0
	22	358.982	203.873	0
	23	358.983	196.636	0
	24	358.983	189.39	0
	25	358.982	182.149	0
	26	358.983	174.9	0
	27	358.985	167.652	0
	28	358.986	160.401	0
	29	358.988	153.154	0
	30	358.987	145.909	0
	31	358.988	138.666	0
	32	358.988	131.42	0
	33	358.989	124.17	0
	34	358.993	116.918	0
	35	358.994	109.677	0
	36	358.995	102.43	0
	37	358.995	95.183	0
	38	358.993	87.9415	0
	39	358.996	80.6935	0
	40	358.996	73.4438	0
	41	358.995	66.1932	0
	42	358.996	58.9423	0
	43	358.996	51.7083	0
	44	358.996	44.4621	0
	45	358.994	37.2043	0
	46	358.996	29.9602	0

Position
	Frame	X pixels	Y pixels	Z pixels
	0	358.972	363.305	0
	1	358.976	356.062	0
	2	358.975	348.833	0
	3	358.972	341.581	0
	4	358.972	334.321	0
	5	358.974	327.071	0
	6	358.972	319.825	0
	7	358.972	312.583	0
	8	358.981	305.332	0
	9	358.979	298.082	0
	10	358.985	290.835	0
	11	358.983	283.596	0
	12	358.982	276.349	0
	13	358.98	269.104	0
	14	358.982	261.86	0
	15	358.981	254.61	0
	16	358.982	247.356	0
	17	358.983	240.107	0
	18	358.982	232.862	0
	19	358.982	225.622	0
	20	358.983	218.368	0
	21	358.982	211.12	0
	22	358.982	203.873	0
	23	358.983	196.636	0
	24	358.983	189.39	0
	25	358.982	182.149	0
	26	358.983	174.9	0
	27	358.985	167.652	0
	28	358.986	160.401	0
	29	358.988	153.154	0
	30	358.987	145.909	0
	31	358.988	138.666	0
	32	358.988	131.42	0
	33	358.989	124.17	0
	34	358.993	116.918	0
	35	358.994	109.677	0
	36	358.995	102.43	0
	37	358.995	95.183	0
	38	358.993	87.9415	0
	39	358.996	80.6935	0
	40	358.996	73.4438	0
	41	358.995	66.1932	0
	42	358.996	58.9423	0
	43	358.996	51.7083	0
	44	358.996	44.4621	0
	45	358.994	37.2043	0
	46	358.996	29.9602	0

Scale
	Frame	X percent	Y percent	Z percent
	0	99.9903	99.9903	100
	1	99.9969	99.9969	100
	2	100	100	100
	3	100.005	100.005	100
	4	99.9943	99.9943	100
	5	99.9974	99.9974	100
	6	100	100	100
	7	99.9977	99.9977	100
	8	100.01	100.01	100
	9	100.003	100.003	100
	10	100.009	100.009	100
	11	100.009	100.009	100
	12	100.005	100.005	100
	13	100.002	100.002	100
	14	100.005	100.005	100
	15	100.005	100.005	100
	16	100.006	100.006	100
	17	100.006	100.006	100
	18	100.004	100.004	100
	19	100.005	100.005	100
	20	100.003	100.003	100
	21	100.003	100.003	100
	22	100.002	100.002	100
	23	100.001	100.001	100
	24	100.005	100.005	100
	25	100.007	100.007	100
	26	100.008	100.008	100
	27	100.009	100.009	100
	28	100.007	100.007	100
	29	100.009	100.009	100
	30	100.006	100.006	100
	31	100.006	100.006	100
	32	100.002	100.002	100
	33	99.9991	99.9991	100
	34	100.001	100.001	100
	35	100.004	100.004	100
	36	100.007	100.007	100
	37	100.009	100.009	100
	38	100.008	100.008	100
	39	100.001	100.001	100
	40	100	100	100
	41	100.006	100.006	100
	42	100.007	100.007	100
	43	99.9998	99.9998	100
	44	99.9926	99.9926	100
	45	99.9947	99.9947	100
	46	99.9897	99.9897	100

Rotation
	Frame	Degrees
	0	-0.0674732
	1	-0.0641669
	2	-0.0676445
	3	-0.0679999
	4	-0.068472
	5	-0.0655226
	6	-0.0657298
	7	-0.0680756
	8	-0.0635555
	9	-0.069959
	10	-0.0598683
	11	-0.0606468
	12	-0.0678627
	13	-0.0712033
	14	-0.0643437
	15	-0.0626905
	16	-0.0614177
	17	-0.0600477
	18	-0.0610009
	19	-0.0596509
	20	-0.0583561
	21	-0.0607295
	22	-0.0599179
	23	-0.0633719
	24	-0.0627436
	25	-0.0601377
	26	-0.0551363
	27	-0.0510322
	28	-0.0639128
	29	-0.0549853
	30	-0.0528552
	31	-0.0446475
	32	-0.0479395
	33	-0.0556326
	34	-0.0533488
	35	-0.0478365
	36	-0.0411492
	37	-0.0478583
	38	-0.046316
	39	-0.0573713
	40	-0.0567117
	41	-0.0624088
	42	-0.0610452
	43	-0.0657582
	44	-0.0701739
	45	-0.0695107
	46	-0.0763877

End of Keyframe Data
